timestamp,aqi,pm2_5,pm10,no2,o3,co,so2
2025-01-23 22:18:34,5,96.98,128.47,14.05,128.75,660.9,48.64
2025-01-23 22:19:04,5,96.98,128.47,14.05,128.75,660.9,48.64
2025-01-23 22:19:35,5,96.98,128.47,14.05,128.75,660.9,48.64
2025-01-23 22:20:05,5,96.98,128.47,14.05,128.75,660.9,48.64
2025-01-23 22:20:35,5,96.98,128.47,14.05,128.75,660.9,48.64
2025-01-23 22:21:05,5,96.98,128.47,14.05,128.75,660.9,48.64
2025-01-23 22:21:35,5,96.98,128.47,14.05,128.75,660.9,48.64
2025-01-23 22:22:05,5,96.98,128.47,14.05,128.75,660.9,48.64
2025-01-23 22:22:35,5,96.98,128.47,14.05,128.75,660.9,48.64
2025-01-23 22:23:05,5,96.98,128.47,14.05,128.75,660.9,48.64
2025-01-23 22:23:35,5,96.98,128.47,14.05,128.75,660.9,48.64
2025-01-23 22:24:05,5,96.98,128.47,14.05,128.75,660.9,48.64
2025-01-23 22:24:39,5,96.98,128.47,14.05,128.75,660.9,48.64
2025-01-23 22:25:09,5,96.98,128.47,14.05,128.75,660.9,48.64
2025-01-23 22:25:39,5,96.98,128.47,14.05,128.75,660.9,48.64
2025-01-23 22:26:09,5,96.98,128.47,14.05,128.75,660.9,48.64
2025-01-23 22:26:39,5,96.98,128.47,14.05,128.75,660.9,48.64
2025-01-23 22:27:09,5,96.98,128.47,14.05,128.75,660.9,48.64
2025-01-23 22:27:39,5,96.98,128.47,14.05,128.75,660.9,48.64
2025-01-23 22:28:09,5,96.98,128.47,14.05,128.75,660.9,48.64
2025-01-23 22:28:39,5,96.98,128.47,14.05,128.75,660.9,48.64
2025-01-23 22:29:09,5,96.98,128.47,14.05,128.75,660.9,48.64
2025-01-23 22:29:39,5,96.98,128.47,14.05,128.75,660.9,48.64
2025-01-23 22:30:10,5,96.98,128.47,14.05,128.75,660.9,48.64
2025-01-23 22:30:40,5,96.98,128.47,14.05,128.75,660.9,48.64
2025-01-23 22:31:14,5,96.98,128.47,14.05,128.75,660.9,48.64
2025-01-23 22:31:47,5,96.98,128.47,14.05,128.75,660.9,48.64
2025-01-23 22:32:17,5,96.98,128.47,14.05,128.75,660.9,48.64
2025-01-23 22:32:47,5,96.98,128.47,14.05,128.75,660.9,48.64
2025-01-23 22:33:17,5,96.98,128.47,14.05,128.75,660.9,48.64
2025-01-23 22:33:47,5,96.98,128.47,14.05,128.75,660.9,48.64
2025-01-23 22:34:17,5,96.98,128.47,14.05,128.75,660.9,48.64
2025-01-23 22:34:47,5,96.98,128.47,14.05,128.75,660.9,48.64
2025-01-23 22:35:19,5,96.98,128.47,14.05,128.75,660.9,48.64
2025-01-23 22:35:51,5,96.98,128.47,14.05,128.75,660.9,48.64
2025-01-23 22:36:21,5,96.98,128.47,14.05,128.75,660.9,48.64
2025-01-23 22:36:51,5,96.98,128.47,14.05,128.75,660.9,48.64
2025-01-23 22:37:21,5,96.98,128.47,14.05,128.75,660.9,48.64
2025-01-23 22:37:51,5,96.98,128.47,14.05,128.75,660.9,48.64
2025-01-23 22:38:21,5,96.98,128.47,14.05,128.75,660.9,48.64
2025-01-23 22:38:51,5,96.98,128.47,14.05,128.75,660.9,48.64
2025-01-23 22:39:22,5,96.98,128.47,14.05,128.75,660.9,48.64
2025-01-23 22:39:52,5,96.98,128.47,14.05,128.75,660.9,48.64
2025-01-23 22:40:22,5,96.98,128.47,14.05,128.75,660.9,48.64
2025-01-23 22:40:52,5,96.98,128.47,14.05,128.75,660.9,48.64
2025-01-23 22:41:22,5,96.98,128.47,14.05,128.75,660.9,48.64
2025-01-23 22:41:53,5,96.98,128.47,14.05,128.75,660.9,48.64
2025-01-23 22:42:34,5,96.98,128.47,14.05,128.75,660.9,48.64
2025-01-23 22:43:05,5,96.98,128.47,14.05,128.75,660.9,48.64
2025-01-23 22:43:35,5,96.98,128.47,14.05,128.75,660.9,48.64
2025-01-23 22:44:06,5,96.98,128.47,14.05,128.75,660.9,48.64
2025-01-23 22:44:36,5,96.98,128.47,14.05,128.75,660.9,48.64
2025-01-23 22:45:36,5,96.98,128.47,14.05,128.75,660.9,48.64
2025-01-23 22:46:09,5,96.98,128.47,14.05,128.75,660.9,48.64
2025-01-23 22:46:40,5,96.98,128.47,14.05,128.75,660.9,48.64
2025-01-23 22:47:11,5,96.98,128.47,14.05,128.75,660.9,48.64
2025-01-23 22:47:41,5,96.98,128.47,14.05,128.75,660.9,48.64
2025-01-23 22:48:22,5,96.98,128.47,14.05,128.75,660.9,48.64
2025-01-23 22:49:04,5,96.98,128.47,14.05,128.75,660.9,48.64
2025-01-23 22:49:34,5,96.98,128.47,14.05,128.75,660.9,48.64
2025-01-23 22:50:05,5,96.98,128.47,14.05,128.75,660.9,48.64
2025-01-23 22:50:35,5,96.98,128.47,14.05,128.75,660.9,48.64
2025-01-23 22:51:10,5,96.98,128.47,14.05,128.75,660.9,48.64
2025-01-23 22:51:40,5,96.98,128.47,14.05,128.75,660.9,48.64
2025-01-23 22:52:14,5,96.98,128.47,14.05,128.75,660.9,48.64
2025-01-23 22:52:44,5,96.98,128.47,14.05,128.75,660.9,48.64
2025-01-23 22:53:14,5,96.98,128.47,14.05,128.75,660.9,48.64
2025-01-23 22:53:45,5,96.98,128.47,14.05,128.75,660.9,48.64
2025-01-23 22:54:15,5,96.98,128.47,14.05,128.75,660.9,48.64
2025-01-23 22:54:46,5,96.98,128.47,14.05,128.75,660.9,48.64
2025-01-23 22:55:16,5,96.98,128.47,14.05,128.75,660.9,48.64
2025-01-23 22:55:46,5,96.98,128.47,14.05,128.75,660.9,48.64
2025-01-23 22:56:17,5,96.98,128.47,14.05,128.75,660.9,48.64
2025-01-23 22:56:47,5,96.98,128.47,14.05,128.75,660.9,48.64
2025-01-23 22:57:17,5,96.98,128.47,14.05,128.75,660.9,48.64
2025-01-23 22:57:47,5,96.98,128.47,14.05,128.75,660.9,48.64
2025-01-23 22:58:30,5,96.98,128.47,14.05,128.75,660.9,48.64
2025-01-23 22:59:00,5,96.98,128.47,14.05,128.75,660.9,48.64
2025-01-23 22:59:30,5,96.98,128.47,14.05,128.75,660.9,48.64
2025-01-23 23:00:00,5,96.98,128.47,14.05,128.75,660.9,48.64
2025-01-23 23:00:30,5,96.98,128.47,14.05,128.75,660.9,48.64
2025-01-23 23:01:00,5,96.98,128.47,14.05,128.75,660.9,48.64
2025-01-23 23:01:33,5,96.98,128.47,14.05,128.75,660.9,48.64
2025-01-23 23:02:04,5,94.08,124.76,9.43,134.47,627.52,27.9
